audit_id,created_at_utc,created_at_local,iteration,thesis_id,instrument,direction,strategy_id,confidence_tese_pct,expected_financial_pct,realized_financial_pct,requested_instruments
2610,2026-05-02T03:55:11+00:00,2026-05-02T00:55:11-03:00,263,TH-PETR4-bullish-3514,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"PETR4,CMIG4,RADL3,RAIL3,SUZB3,JBSS3,BBAS3"
2613,2026-05-02T03:55:29+00:00,2026-05-02T00:55:29-03:00,264,TH-BPAC11-bullish-0565,BPAC11,bullish,BULL_CALL_SPREAD,71.3538,3.7916,-2.2,"BPAC11,SUZB3,BBDC4,RAIL3"
2616,2026-05-02T03:56:06+00:00,2026-05-02T00:56:06-03:00,265,TH-PETR4-bullish-16179,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"B3SA3,RENT3,HAPV3,LREN3,PETR4,RADL3,ABEV3,PRIO3"
2619,2026-05-02T03:56:29+00:00,2026-05-02T00:56:29-03:00,266,TH-SUZB3-bullish-14294,SUZB3,bullish,BULL_CALL_SPREAD,71.2861,3.784,-0.3576,"B3SA3,WEGE3,RENT3,ABEV3,SUZB3"
2622,2026-05-02T03:56:55+00:00,2026-05-02T00:56:55-03:00,267,TH-HAPV3-bearish-12131,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"BBAS3,RENT3,BPAC11,HAPV3,GGBR4,VBBR3"
2625,2026-05-02T03:57:16+00:00,2026-05-02T00:57:16-03:00,268,TH-GGBR4-bullish-9854,GGBR4,bullish,BULL_CALL_SPREAD,70.4848,3.6943,-2.2,"VBBR3,LREN3,VALE3,GGBR4"
2628,2026-05-02T03:57:55+00:00,2026-05-02T00:57:55-03:00,269,TH-PETR4-bullish-15252,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"RENT3,CMIG4,ABEV3,PETR4,VBBR3,BBDC4,PRIO3,GGBR4"
2631,2026-05-02T03:58:34+00:00,2026-05-02T00:58:34-03:00,270,TH-PETR4-bullish-11582,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"BBAS3,JBSS3,PETR4,RADL3,RENT3,CMIG4,BBDC4,SUZB3"
2634,2026-05-02T03:59:03+00:00,2026-05-02T00:59:03-03:00,271,TH-JBSS3-bullish-11661,JBSS3,bullish,BULL_CALL_SPREAD,71.172,3.7713,5.4,"B3SA3,VALE3,RENT3,JBSS3,CMIG4,WEGE3,GGBR4"
2637,2026-05-02T03:59:30+00:00,2026-05-02T00:59:30-03:00,272,TH-PRIO3-bullish-9542,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"VALE3,ITUB4,PRIO3,CMIG4,RAIL3"
2640,2026-05-02T03:59:54+00:00,2026-05-02T00:59:54-03:00,273,TH-HAPV3-bearish-5552,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"ITUB4,HAPV3,VBBR3,GGBR4,B3SA3,RENT3"
2643,2026-05-02T04:00:31+00:00,2026-05-02T01:00:31-03:00,274,TH-PRIO3-bullish-20869,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"CMIG4,LREN3,ABEV3,JBSS3,BBAS3,PRIO3,RADL3"
2646,2026-05-02T04:01:00+00:00,2026-05-02T01:01:00-03:00,275,TH-HAPV3-bearish-19470,HAPV3,bearish,BEAR_PUT_SPREAD,72.3877,3.9074,5.2,"GGBR4,CMIG4,WEGE3,RENT3,VBBR3,HAPV3"
2649,2026-05-02T04:01:27+00:00,2026-05-02T01:01:27-03:00,276,TH-PETR4-bullish-12090,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"B3SA3,SUZB3,BBAS3,PETR4"
